Duty No.,Board No.,Sign ON,Stop ON,Time ON,Time OFF,Stop OFF,Sign OFF,Paid Time,Spread Time,Service
0001,"S143A
S104","05:59
11:31","ST
aa","06:11
11:38","10:45
12:54","ST
bb","10:46
13:06",06:37,07:07,384
0001,"S143A
S104","05:59
11:31","ST
aa","06:11
11:38","10:45
12:54","ST
bb","10:46
13:06",06:37,07:07,"192
192"
0002,"S209
S303","05:36
10:51","ST
StinM","05:48
10:55","10:07
12:35","StinD
StinM","10:11
12:44",06:38,07:08,"25
325"
0003,"S228
S215","05:11
10:06","ST
StinC","05:23
10:10","09:20
12:10","StinK
StinC","09:24
12:19",06:38,07:08,23
0003,"S228
S215","05:11
10:06","ST
StinC","05:23
10:10","09:20
12:10","StinK
StinC","09:24
12:19",06:38,07:08,"384
197"
0004,"S226
S122","05:05
09:11","ST
bb","05:17
09:18","08:30
12:03","StinK
aa","08:34
12:15",06:40,07:10,"11
192"
0005,"S144
S118","05:39
11:16","ST
aa","05:51
11:23","10:33
12:38","StinL
bb","10:37
12:50",06:41,07:11,327
0005,"S144
S118","05:39
11:16","ST
aa","05:51
11:23","10:33
12:38","StinL
bb","10:37
12:50",06:41,07:11,322
0005,"S144
S118","05:39
11:16","ST
aa","05:51
11:23","10:33
12:38","StinL
bb","10:37
12:50",06:41,07:11,"330
192"
0006,"S229
S220","05:06
10:46","ST
StinP","05:18
10:50","09:50
12:20","StinK
StinP","09:54
12:29",06:53,07:23,"383
312"
0007,"S250A
S108","05:06
10:01","ST
aa","05:18
10:08","09:20
12:18","ST
aa","09:21
12:30",06:54,07:24,312
0007,"S250A
S108","05:06
10:01","ST
aa","05:18
10:08","09:20
12:18","ST
aa","09:21
12:30",06:54,07:24,"23
192"
0008,"S105
S123","05:00
10:06","ST
aa","05:12
10:13","09:21
12:13","bb
aa","09:28
12:25",06:55,07:25,23
0008,"S105
S123","05:00
10:06","ST
aa","05:12
10:13","09:21
12:13","bb
aa","09:28
12:25",06:55,07:25,"192
192"
0009,"S133
S222","04:33
10:16","ST
StinP","04:45
10:20","09:38
11:50","STDEP PK
StinP","09:39
11:59",06:56,07:26,325
0009,"S133
S222","04:33
10:16","ST
StinP","04:45
10:20","09:38
11:50","STDEP PK
StinP","09:39
11:59",06:56,07:26,314
0009,"S133
S222","04:33
10:16","ST
StinP","04:45
10:20","09:38
11:50","STDEP PK
StinP","09:39
11:59",06:56,07:26,"192
312"
0010,"S256
S301","05:46
11:21","ST
StinM","05:58
11:25","10:40
13:05","StinP
StinM","10:44
13:14",06:58,07:28,379
0010,"S256
S301","05:46
11:21","ST
StinM","05:58
11:25","10:40
13:05","StinP
StinM","10:44
13:14",06:58,07:28,"378
325"
0011,"S147
S202","05:21
09:56","ST
StinB","05:33
10:00","09:13
12:40","StinL
StinB","09:17
12:49",06:58,07:28,"330
23"
0012,"S115
S807","04:36
09:29","ST
StinL","04:48
09:33","08:43
11:57","aa
StinL","08:50
12:06",07:00,07:30,330
0012,"S115
S807","04:36
09:29","ST
StinL","04:48
09:33","08:43
11:57","aa
StinL","08:50
12:06",07:00,07:30,"192
330"
0013,"S149A
S109","05:09
10:11","ST
aa","05:21
10:18","09:31
12:28","ST
aa","09:32
12:40",07:01,07:31,"330
192"
0014,"S220
S302","05:49
11:31","ST
StinM","06:01
11:35","10:50
13:15","StinP
StinM","10:54
13:24",07:05,07:35,383
0014,"S220
S302","05:49
11:31","ST
StinM","06:01
11:35","10:50
13:15","StinP
StinM","10:54
13:24",07:05,07:35,"312
325"
0015,"S120
S121","05:45
09:46","ST
aa","05:57
09:53","09:00
13:08","bb
bb","09:07
13:20",07:05,07:35,192
0015,"S120
S121","05:45
09:46","ST
aa","05:57
09:53","09:00
13:08","bb
bb","09:07
13:20",07:05,07:35,"X92
192"
0016,"S111
S208","04:33
09:11","ST
StinB","04:45
09:15","08:23
12:00","aa
StinB","08:30
12:09",07:06,07:36,"192
23"
0017,"S222
S101","05:54
11:01","ST
aa","06:06
11:08","10:20
13:18","StinP
aa","10:24
13:30",07:06,07:36,23
0017,"S222
S101","05:54
11:01","ST
aa","06:06
11:08","10:20
13:18","StinP
aa","10:24
13:30",07:06,07:36,"312
192"
0018,"S215
S234","05:18
10:51","ST
StinP","05:30
10:55","10:10
12:55","StinC
StinP","10:14
13:04",07:16,07:46,25
0018,"S215
S234","05:18
10:51","ST
StinP","05:30
10:55","10:10
12:55","StinC
StinP","10:14
13:04",07:16,07:46,"197
374"
0019,"S110
S146","03:44
08:59","ST
StinL","03:56
09:03","08:12
11:21","aa
StinL","08:19
11:30",07:16,07:46,"192
330"
0020,"S124
S216","04:52
10:26","ST
StinC","05:04
10:30","09:38
12:30","bb
StinC","09:45
12:39",07:17,07:47,330
0020,"S124
S216","04:52
10:26","ST
StinC","05:04
10:30","09:38
12:30","bb
StinC","09:45
12:39",07:17,07:47,"192
197"
0021,"S223
S218","05:29
11:06","ST
StinC","05:41
11:10","10:25
13:10","StinJ
StinC","10:29
13:19",07:20,07:50,383
0021,"S223
S218","05:29
11:06","ST
StinC","05:41
11:10","10:25
13:10","StinJ
StinC","10:29
13:19",07:20,07:50,"322
197"
0022,"S146
S214","04:09
09:46","ST
StinC","04:21
09:50","09:03
11:50","StinL
StinC","09:07
11:59",07:20,07:50,330
0022,"S146
S214","04:09
09:46","ST
StinC","04:21
09:50","09:03
11:50","StinL
StinC","09:07
11:59",07:20,07:50,"314
197"
0023,"S225
S116","04:37
08:46","ST
aa","04:49
08:53","08:00
12:18","StinK
bb","08:04
12:30",07:23,07:53,"11
192"
0024,"S119
S803","05:00
10:17","ST
StinL","05:12
10:21","09:32
12:45","aa
StinL","09:39
12:54",07:24,07:54,11
0024,"S119
S803","05:00
10:17","ST
StinL","05:12
10:21","09:32
12:45","aa
StinL","09:39
12:54",07:24,07:54,192
0024,"S119
S803","05:00
10:17","ST
StinL","05:12
10:21","09:32
12:45","aa
StinL","09:39
12:54",07:24,07:54,"X92
330"
0025,"S150
S203","05:09
10:16","ST
StinB","05:21
10:20","09:35
13:00","StinM
StinB","09:39
13:09",07:30,08:00,"325
23"
0026,"S255
S153","05:16
10:51","ST
StinH","05:28
10:55","10:10
13:10","StinP
StinH","10:14
13:19",07:33,08:03,378
0026,"S255
S153","05:16
10:51","ST
StinH","05:28
10:55","10:10
13:10","StinP
StinH","10:14
13:19",07:33,08:03,"379
314"
0027,"S116
S131","04:37
09:40","ST
STDEP PK","04:49
09:42","08:53
12:36","aa
STDEP PK","09:00
12:41",07:34,08:04,330
0027,"S116
S131","04:37
09:40","ST
STDEP PK","04:49
09:42","08:53
12:36","aa
STDEP PK","09:00
12:41",07:34,08:04,192
0027,"S116
S131","04:37
09:40","ST
STDEP PK","04:49
09:42","08:53
12:36","aa
STDEP PK","09:00
12:41",07:34,08:04,"X92
192"
0028,"S214
S204","05:25
10:36","ST
StinB","05:37
10:40","09:50
13:20","StinC
StinB","09:54
13:29",07:34,08:04,11
0028,"S214
S204","05:25
10:36","ST
StinB","05:37
10:40","09:50
13:20","StinC
StinB","09:54
13:29",07:34,08:04,"197
23"
0029,"S203
S211","05:41
11:03","ST
StinD","05:53
11:07","10:20
13:37","StinB
StinD","10:24
13:46",07:35,08:05,374
0029,"S203
S211","05:41
11:03","ST
StinD","05:53
11:07","10:20
13:37","StinB
StinD","10:24
13:46",07:35,08:05,"23
25"
0030,"S204
S219","05:34
11:26","ST
StinC","05:46
11:30","10:40
13:30","StinB
StinC","10:44
13:39",07:35,08:05,"23
197"
0031,"S107
S808","04:10
09:41","ST
StinL","04:22
09:45","08:57
12:09","bb
StinL","09:04
12:18",07:38,08:08,"192
330"
0032,"S251A
S225","05:39
10:56","ST
StinK","05:51
11:00","10:16
13:40","ST
StinK","10:17
13:49",07:40,08:10,312
0032,"S251A
S225","05:39
10:56","ST
StinK","05:51
11:00","10:16
13:40","ST
StinK","10:17
13:49",07:40,08:10,"384
383"
0033,"S108
S205","05:38
10:56","ST
StinB","05:50
11:00","10:08
13:40","aa
StinB","10:15
13:49",07:41,08:11,"192
23"
0034,"S129
S241","05:16
09:36","ST
StinR","05:28
09:40","08:52
13:20","bb
StinR","08:59
13:29",07:43,08:13,197
0034,"S129
S241","05:16
09:36","ST
StinR","05:28
09:40","08:52
13:20","bb
StinR","08:59
13:29",07:43,08:13,"192
11"
0035,"S112
S212","05:59
11:33","ST
StinD","06:11
11:37","10:48
14:07","aa
StinD","10:55
14:16",07:47,08:17,192
0035,"S112
S212","05:59
11:33","ST
StinD","06:11
11:37","10:48
14:07","aa
StinD","10:55
14:16",07:47,08:17,"191
25"
0036,"S254
S206","05:51
11:16","ST
StinB","06:03
11:20","10:30
14:00","StinN
StinB","10:34
14:09",07:48,08:18,"358
23"
0037,"S106
S210","04:57
10:33","ST
StinD","05:09
10:37","09:48
13:07","aa
StinD","09:55
13:16",07:49,08:19,"192
25"
0038,"S103
S239","04:27
08:56","ST
StinR","04:39
09:00","08:11
12:40","bb
StinR","08:18
12:49",07:52,08:22,"192
11"
0039,"S240
S246","04:29
10:06","ST
StinK","04:41
10:10","09:20
12:49","StinR
STDEP PK","09:24
12:54",07:55,08:25,23
0039,"S240
S246","04:29
10:06","ST
StinK","04:41
10:10","09:20
12:49","StinR
STDEP PK","09:24
12:54",07:55,08:25,"11
384"
0040,"S142A
S146","05:28
11:17","ST
StinL","05:40
11:21","10:36
13:45","ST
StinL","10:37
13:54",07:56,08:26,"192
330"
0041,"S801
S302","07:22
13:11","ST
StinM","07:34
13:15","12:21
15:45","StinL
StinM","12:25
15:54",08:02,08:32,"330
325"
0042,"S128
S254","06:10
10:26","ST
StinN","06:22
10:30","09:48
14:35","STDEP PK
StinN","09:49
14:44",08:04,08:34,"192
358"
0043,"S806
S229","06:44
12:26","ST
StinK","06:56
12:30","11:45
15:10","StinL
StinK","11:49
15:19",08:05,08:35,"330
384"
0044,"S117
S151","05:13
09:51","ST
StinH","05:25
09:55","09:07
13:40","aa
StinH","09:14
13:49",08:06,08:36,23
0044,"S117
S151","05:13
09:51","ST
StinH","05:25
09:55","09:07
13:40","aa
StinH","09:14
13:49",08:06,08:36,"192
314"
0045,"S301
S123","07:04
12:06","ST
aa","07:16
12:13","11:25
15:31","StinM
bb","11:29
15:43",08:09,08:39,"325
192"
0046,"S153
S207","05:49
11:36","ST
StinB","06:01
11:40","10:55
14:20","StinH
StinB","10:59
14:29",08:10,08:40,"314
23"
0047,"S231
S202","07:09
12:36","ST
StinB","07:21
12:40","11:50
15:40","StinK
StinB","11:54
15:49",08:10,08:40,383
0047,"S231
S202","07:09
12:36","ST
StinB","07:21
12:40","11:50
15:40","StinK
StinB","11:54
15:49",08:10,08:40,"384
23"
0048,"S151
S126","05:01
10:40","ST
STDEP PK","05:13
10:42","09:55
13:36","StinH
STDEP PK","09:59
13:41",08:10,08:40,360
0048,"S151
S126","05:01
10:40","ST
STDEP PK","05:13
10:42","09:55
13:36","StinH
STDEP PK","09:59
13:41",08:10,08:40,358
0048,"S151
S126","05:01
10:40","ST
STDEP PK","05:13
10:42","09:55
13:36","StinH
STDEP PK","09:59
13:41",08:10,08:40,"314
192"
0049,"S127
S242","05:09
09:56","ST
StinR","05:21
10:00","09:11
13:40","bb
StinR","09:18
13:49",08:10,08:40,"192
11"
0050,"S121
S244","05:46
10:39","ST
STDEP PK","05:58
10:41","09:53
14:20","aa
StinR","10:00
14:29",08:13,08:43,191
0050,"S121
S244","05:46
10:39","ST
STDEP PK","05:58
10:41","09:53
14:20","aa
StinR","10:00
14:29",08:13,08:43,"192
11"
0051,"S221
S127","05:08
09:04","ST
bb","05:20
09:11","08:20
13:46","StinP
STDEP PK","08:24
13:51",08:13,08:43,25
0051,"S221
S127","05:08
09:04","ST
bb","05:20
09:11","08:20
13:46","StinP
STDEP PK","08:24
13:51",08:13,08:43,"312
192"
0052,"S135
S232","04:53
10:46","ST
StinK","05:05
10:50","10:06
13:30","STDEP PK
StinK","10:07
13:39",08:16,08:46,"192
384"
0053,"S134
S256","05:02
10:36","ST
StinP","05:14
10:40","09:56
13:40","STDEP PK
StinP","09:57
13:49",08:17,08:47,11
0053,"S134
S256","05:02
10:36","ST
StinP","05:14
10:40","09:56
13:40","STDEP PK
StinP","09:57
13:49",08:17,08:47,384
0053,"S134
S256","05:02
10:36","ST
StinP","05:14
10:40","09:56
13:40","STDEP PK
StinP","09:57
13:49",08:17,08:47,"192
378"
0053,"S134
S256","05:02
10:36","ST
StinP","05:14
10:40","09:56
13:40","STDEP PK
StinP","09:57
13:49",08:17,08:47,379
0054,"S145
S213","05:59
12:06","ST
STDEP PK","06:11
12:08","10:57
14:37","StinL
StinD","11:01
14:46",08:17,08:47,"330
25"
0055,"S246
S224","06:16
10:51","ST
StinJ","06:28
10:55","10:10
14:55","StinK
StinJ","10:14
15:04",08:18,08:48,197
0055,"S246
S224","06:16
10:51","ST
StinJ","06:28
10:55","10:10
14:55","StinK
StinJ","10:14
15:04",08:18,08:48,"383
327"
0056,"S132
S243","05:19
10:19","ST
STDEP PK","05:31
10:21","09:36
14:00","STDEP PK
StinR","09:37
14:09",08:20,08:50,384
0056,"S132
S243","05:19
10:19","ST
STDEP PK","05:31
10:21","09:36
14:00","STDEP PK
StinR","09:37
14:09",08:20,08:50,"192
11"
0057,"S206
S116","06:23
12:11","ST
bb","06:35
12:18","11:20
15:02","StinB
aa","11:24
15:14",08:21,08:51,"23
192"
0058,"S219
S128","06:54
12:30","ST
STDEP PK","07:06
12:32","11:30
15:34","StinC
bb","11:34
15:46",08:22,08:52,"197
192"
0059,"S802
S245","05:56
10:56","ST
StinR","06:08
11:00","10:09
14:40","StinL
StinR","10:13
14:49",08:23,08:53,"330
11"
0060,"S138A
S147","05:13
09:09","ST
StinL","05:25
09:13","08:19
13:57","bb
StinL","08:26
14:06",08:23,08:53,"192
330"
0061,"S114
S119","04:07
09:25","ST
aa","04:19
09:32","08:33
12:48","aa
bb","08:40
13:00",08:23,08:53,"192
192"
0062,"S239
S106","05:26
09:41","ST
aa","05:38
09:48","09:00
14:08","StinR
aa","09:04
14:20",08:24,08:54,"11
192"
0063,"S247A
S124","05:39
09:31","ST
bb","05:51
09:38","08:39
14:22","ST
aa","08:40
14:34",08:25,08:55,384
0063,"S247A
S124","05:39
09:31","ST
bb","05:51
09:38","08:39
14:22","ST
aa","08:40
14:34",08:25,08:55,"383
192"
0064,"S302
S220","06:34
12:16","ST
StinP","06:46
12:20","11:35
15:20","StinM
StinP","11:39
15:29",08:25,08:55,"325
312"
0065,"S248A
S152","06:09
10:21","ST
StinH","06:21
10:25","09:42
14:55","ST
StinH","09:43
15:04",08:25,08:55,383
0065,"S248A
S152","06:09
10:21","ST
StinH","06:21
10:25","09:42
14:55","ST
StinH","09:43
15:04",08:25,08:55,"384
314"
0066,"S241
S223","05:39
10:21","ST
StinJ","05:51
10:25","09:40
14:25","StinR
StinJ","09:44
14:34",08:25,08:55,197
0066,"S241
S223","05:39
10:21","ST
StinJ","05:51
10:25","09:40
14:25","StinR
StinJ","09:44
14:34",08:25,08:55,"384
322"
0067,"S122
S255","05:54
10:06","ST
StinP","06:06
10:10","09:18
14:40","bb
StinP","09:25
14:49",08:25,08:55,"192
379"
0067,"S122
S255","05:54
10:06","ST
StinP","06:06
10:10","09:18
14:40","bb
StinP","09:25
14:49",08:25,08:55,378
0068,"S109
S235","06:14
11:16","ST
StinR","06:26
11:20","10:18
15:00","aa
StinR","10:25
15:09",08:25,08:55,314
0068,"S109
S235","06:14
11:16","ST
StinR","06:26
11:20","10:18
15:00","aa
StinR","10:25
15:09",08:25,08:55,192
0068,"S109
S235","06:14
11:16","ST
StinR","06:26
11:20","10:18
15:00","aa
StinR","10:25
15:09",08:25,08:55,"191
11"
0069,"S140A
S144","06:33
10:29","ST
StinL","06:45
10:33","09:46
15:21","ST
StinL","09:47
15:30",08:27,08:57,"192
330"
0070,"S249A
S209","06:19
10:03","ST
StinD","06:31
10:07","09:17
15:07","ST
StinD","09:18
15:16",08:27,08:57,384
0070,"S249A
S209","06:19
10:03","ST
StinD","06:31
10:07","09:17
15:07","ST
StinD","09:18
15:16",08:27,08:57,"191
25"
0071,"S131
S304","04:47
10:11","ST
StinM","04:59
10:15","09:31
13:35","STDEP PK
StinM","09:32
13:44",08:27,08:57,"192
325"
0072,"S252A
S133","06:09
10:00","ST
STDEP PK","06:21
10:02","09:21
14:54","ST
aa","09:22
15:06",08:27,08:57,"312
192"
0073,"S202
S112","05:30
10:41","ST
aa","05:42
10:48","10:00
14:15","StinB
bb","10:04
14:27",08:27,08:57,"23
192"
0074,"S213
S230","06:46
12:49","ST
STDEP PK","06:58
12:51","11:59
15:37","STDEP PK
STDEP PK","12:00
15:42",08:26,08:56,"25
384"
0075,"S808
S125","05:47
10:26","ST
aa","05:59
10:33","09:45
14:32","StinL
aa","09:49
14:44",08:27,08:57,"330
192"
0076,"S232
S114","05:57
11:51","ST
bb","06:09
11:58","10:50
14:42","StinK
aa","10:54
14:54",08:27,08:57,11
0076,"S232
S114","05:57
11:51","ST
bb","06:09
11:58","10:50
14:42","StinK
aa","10:54
14:54",08:27,08:57,"384
192"
0077,"S137A
S253","06:51
11:26","ST
StinN","07:03
11:30","10:41
15:40","ST
StinN","10:42
15:49",08:28,08:58,"192
358"
0078,"S216
S102","05:59
11:11","ST
aa","06:11
11:18","10:30
14:45","StinC
bb","10:34
14:57",08:28,08:58,"197
192"
0079,"S101
S122","06:34
11:56","ST
aa","06:46
12:03","11:08
15:20","aa
bb","11:15
15:32",08:28,08:58,191
0079,"S101
S122","06:34
11:56","ST
aa","06:46
12:03","11:08
15:20","aa
bb","11:15
15:32",08:28,08:58,"192
192"
0080,"S807
S227","05:30
10:16","ST
StinK","05:42
10:20","09:33
14:20","StinL
StinK","09:37
14:29",08:29,08:59,"330
383"
0081,"S104
S226","06:30
12:36","ST
StinK","06:42
12:40","11:38
15:20","aa
StinK","11:45
15:29",08:29,08:59,"192
383"
0101,"S117
S204","08:58
13:16","aa
StinB","09:07
13:20","12:28
16:20","bb
StinB","12:35
16:29",07:01,07:31,"192
23"
0102,"S238
S210","08:29
13:03","ST
StinD","08:41
13:07","12:20
16:00","StinR
StinB","12:24
16:09",07:10,07:40,"11
25"
0102,"S238
S210","08:29
13:03","ST
StinD","08:41
13:07","12:20
16:00","StinR
StinB","12:24
16:09",07:10,07:40,23
0103,"S221
S151","08:14
13:36","StinP
StinH","08:20
13:40","12:50
15:55","StinP
StinH","12:54
16:04",07:20,07:50,"312
314"
0104,"S115
S146","08:34
13:41","aa
StinL","08:43
13:45","12:53
16:21","aa
StinL","13:00
16:30",07:26,07:56,"192
330"
